GSK,CGP,CCLE
22Rv1,22RV1,22RV1
5637,5637,5637
639V,639-V,639-V
647V,647-V,647-V
769P,769-P,769-P
A101D,A101D,A101D
A172,A172,A172
A204,A204,A204
A375,A375,A375
A427,A427,
A498,A498,A498
A673,A673,A673
ACHN,ACHN,ACHN
AGS,AGS,AGS
AN3CA,AN3-CA,AN3-CA
ARH77,ARH-77,
AsPC1,AsPC-1,AsPC-1
BC1,BC-1,
BC3,BC-3,
BDCM,,BDCM
BFTC905,BFTC-905,BFTC-905
BHT101,BHT-101,BHT-101
BT20,BT-20,BT-20
BT474,,BT-474
BV173,BV-173,BV-173
C32TG,C32,C32
C33A,C-33-A,
C3A,C3A,C3A
C4II,C-4-II,
CA46,CA46,CA46
Caki1,CAKI-1,Caki-1
Caki2,,Caki-2
CAL54,CAL-54,CAL-54
CAL62,CAL-62,CAL-62
Calu1,Calu-1,Calu-1
Calu6,Calu-6,Calu-6
CaOv3,Caov-3,Caov-3
Capan1,CAPAN-1,CAPAN-1
Capan2,Capan-2,Capan-2
CCFSTTG1,CCF-STTG1,CCF-STTG1
CCRFCEM,CCRF-CEM,
CESS,CESS,
CGTHW1,CGTH-W-1,CGTH-W-1
ChaGoK1,ChaGo-K-1,ChaGo-K-1
CHL1,CHL-1,CHL-1
CHP212,CHP-212,CHP-212
CMLT1,CML-T1,CML-T1
COLO201,,COLO 201
COLO320HSR,COLO-320-HSR,COLO-320-HSR
COLO668,COLO-668,COLO-668
COLO704,,COLO-704
COLO829,,COLO 829
CORL105,COR-L105,COR-L105
CORL23,COR-L23,COR-L23
CORL279,COR-L279,COR-L279
CORL88,COR-L88,COR-L88
CROAP2,CRO-AP2,
CROAP5,CRO-AP5,
D283Med,D-283MED,D-283MED
D341Med,,D341 Med
Daudi,Daudi,Daudi
DB,DB,DB
DBTRG05MG,DBTRG-05MG,DBTRG-05MG
Detroit562,Detroit562,Detroit562
DG75,DG-75,
DKMG,DK-MG,DK-MG
DMS114,DMS-114,DMS-114
DMS153,DMS-153,DMS-153
DMS273,DMS-273,DMS-273
DMS53,DMS-53,DMS-53
DMS79,DMS-79,DMS-79
DOHH2,DOHH-2,DOHH-2
DoTc2,DoTc2-4510,
DU4475,DU-4475,DU-4475
EB1,,EB1
EB2,EB2,EB2
EB3,EB-3,
EFM19,EFM-19,EFM-19
EM2,EM-2,EM-2
ES2,,ES-2
G401,G-401,G-401
G402,,G-402
GA10,,GA-10
GCT,GCT,GCT
GDM1,GDM-1,GDM-1
H4,,H4
HCC1143,HCC1143,HCC1143
HCC1395,HCC1395,HCC1395
HCC1599,HCC1599,HCC1599
HCC1937,HCC1937,HCC1937
HCC1954,HCC1954,HCC1954
HCC2157,HCC2157,HCC2157
HCC2218,HCC2218,HCC2218
HCC38,HCC38,HCC38
HCT15,HCT-15,HCT-15
HCT8,,HCT-8
HDMYZ,HD-MY-Z,HD-MY-Z
HEC1A,,HEC-1-A
HEL9217,,HEL 92.1.7
Hep3B,,Hep 3B2.1-7
HepG2,,Hep G2
HH,HH,HH
HL60,HL-60,HL-60
HMCB,,HMCB
HOS,HOS,HOS
HPAC,,HPAC
HPAFII,HPAF-II,HPAF-II
HT,HT,HT
HT1080,HT-1080,HT-1080
HT1197,HT-1197,HT-1197
HT1376,HT-1376,HT-1376
HT3,HT-3,
FaDu,FADU,FADU
HuNS1,HuNS1,HuNS1
HuPT4,HuP-T4,HuP-T4
HuT78,,HuT 78
JRT3T35,J-RT3-T3-5,
J82,J82,J82
JAR,JAR,
JEG3,JEG-3,
Jiyoye,JiyoyeP-2003,
JM1,,JM1
JVM3,JVM-3,JVM-3
K562,,K-562
Kasumi2,,KASUMI-2
KATOIII,KATOIII,KATOIII
KG1,,KG-1
KLE,,KLE
KPL1,,KPL-1
KU812,,KU812
KYSE30,,KYSE-30
L428,L-428,L-428
LS1034,LS-1034,LS-1034
LS174T,LS-174T,
Malme3M,Malme-3M,Malme-3M
MC116,,MC116
MCF7,MCF7,MCF7
MCIXC,MC-IXC,
MDAMB175VII,MDA-MB-175-VII,MDA-MB-175-VII
MDAMB453,MDA-MB-453,MDA-MB-453
MEC1,,MEC-1
MEG01,MEG-01,MEG-01
MESSA,MES-SA,MES-SA
MG63,MG-63,MG-63
MHHPREB1,MHH-PREB-1,
MJ,MJ,MJ
ML2,ML-2,
MOLT16,MOLT-16,MOLT-16
MOLT4,MOLT-4,MOLT-4
MV4II,,MV-4-11
NALM1,NALM-1,NALM-1
NALM6,NALM-6,NALM-6
NAMALWA,,NAMALWA
NCIH1651,NCI-H1651,NCI-H1651
NCIH1155,NCI-H1155,NCI-H1155
NCIH1048,NCI-H1048,NCI-H1048
NCIH1092,NCI-H1092,NCI-H1092
NCIH1355,NCI-H1355,NCI-H1355
NCIH1395,NCI-H1395,NCI-H1395
NCIH1436,NCI-H1436,NCI-H1436
NCIH1437,NCI-H1437,NCI-H1437
NCIH1563,NCI-H1563,NCI-H1563
NCIH1573,NCI-H1573,NCI-H1573
NCIH1581,,NCI-H1581
NCIH1618,NCI-H1618,NCI-H1618
NCIH1623,,NCI-H1623
NCIH1650,NCI-H1650,NCI-H1650
NCIH1666,NCI-H1666,NCI-H1666
NCIH1694,,NCI-H1694
NCIH1703,NCI-H1703,NCI-H1703
NCIH1770,NCI-H1770,
NCIH1792,NCI-H1792,NCI-H1792
NCIH1793,NCI-H1793,NCI-H1793
NCIH1838,NCI-H1838,NCI-H1838
NCIH1930,NCI-H1930,NCI-H1930
NCIH1975,NCI-H1975,NCI-H1975
NCIH1993,NCI-H1993,
NCIH2009,NCI-H2009,NCI-H2009
NCIH2030,NCI-H2030,NCI-H2030
NCIH2052,NCI-H2052,NCI-H2052
NCIH2081,NCI-H2081,NCI-H2081
NCIH2087,NCI-H2087,NCI-H2087
NCIH2107,NCI-H2107,
NCIH2122,,NCI-H2122
NCIH2126,NCI-H2126,NCI-H2126
NCIH2170,NCI-H2170,NCI-H2170
NCIH2171,NCI-H2171,NCI-H2171
NCIH2195,NCI-H2196,NCI-H2196
NCIH2228,NCI-H2228,NCI-H2228
NCIH226,NCI-H226,NCI-H226
NCIH23,NCI-H23,NCI-H23
NCIH2347,NCI-H2347,NCI-H2347
NCIH2405,NCI-H2405,NCI-H2405
NCIH295R,NCI-H295,
NCIH322,,NCI-H322
NCIH358,NCI-H358,NCI-H358
NCIH441,NCI-H441,NCI-H441
NCIH446,NCI-H446,NCI-H446
NCIH508,NCI-H508,NCI-H508
NCIH522,NCI-H522,NCI-H522
NCIH524,NCI-H524,NCI-H524
NCIH630,NCI-H630,
NCIH650,NCI-H650,NCI-H650
NCIH661,NCI-H661,NCI-H661
NCIH69,,NCI-H69
NCIH716,NCI-H716,NCI-H716
NCIH747,NCI-H747,NCI-H747
NCIH810,NCI-H810,NCI-H810
NCIH82,NCI-H82,NCI-H82
